,0.975],P>|t|,[0.025,coef,std err,t
MP,0.001,0.019,0.0,0.0008,0.0,2.505
OY,-2.0300000000000002e-05,0.025,-0.0,-0.0001,6.29e-05,-2.379
OZ,-3.81e-05,0.02,-0.0,-0.0002,8.88e-05,-2.485
PA,-0.0,0.002,-0.0,-0.0003,7.45e-05,-3.53
PB,-4.11e-05,0.015,-0.0,-0.0002,7.37e-05,-2.613
PQ,0.0,0.042,6.74e-06,0.0002,8.640000000000001e-05,2.134
QB,0.0,0.033,1.6100000000000002e-05,0.0002,8.240000000000001e-05,2.251
RA,-4.85e-05,0.009000000000000001,-0.0,-0.0002,6.31e-05,-2.824
RB,-3.69e-05,0.02,-0.0,-0.0002,8.93e-05,-2.469
RH,-3.32e-06,0.045,-0.0,-0.0001,6.39e-05,-2.108
RI,-3.1e-05,0.019,-0.0,-0.0002,7.049999999999999e-05,-2.496
RT,-1.98e-05,0.028999999999999998,-0.0,-0.0002,7.879999999999999e-05,-2.306
SC,-9.95e-05,0.044000000000000004,-0.006999999999999999,-0.0034,0.002,-2.117
SD,-0.0,0.006,-0.001,-0.0004,0.0,-2.9819999999999998
SK,0.001,0.027999999999999997,8.690000000000001e-05,0.0008,0.0,2.323
SR,0.026000000000000002,0.018000000000000002,0.003,0.0143,0.006,2.515
ST,0.008,0.001,0.002,0.005,0.001,3.7060000000000004
SU,0.002,0.013999999999999999,0.0,0.0013,0.0,2.635
SW,-0.001,0.034,-0.034,-0.0177,0.008,-2.245
SY,0.004,0.006,0.001,0.0022,0.001,2.995
TO[T.-13.7],0.022000000000000002,0.036000000000000004,0.001,0.0115,0.005,2.285
TS,-0.0,0.002,-0.001,-0.0006,0.0,-3.5239999999999996
TY,0.001,0.006,0.0,0.0005,0.0,2.965
UA,-0.001,0.006,-0.003,-0.0018,0.001,-2.96
UC,0.001,0.011000000000000001,0.0,0.0005,0.0,2.7239999999999998
UE,-0.0,0.006,-0.001,-0.0006,0.0,-2.966
UI,0.001,0.013999999999999999,0.0,0.0005,0.0,2.62
UZ,-3.54e-05,0.033,-0.001,-0.0004,0.0,-2.249
VE,0.001,0.035,4.24e-05,0.0005,0.0,2.227
VQ,0.001,0.022000000000000002,9.54e-05,0.0006,0.0,2.435
WD,0.0,0.042,7.27e-06,0.0002,8.290000000000001e-05,2.1430000000000002
WI,-1.0199999999999999e-05,0.043,-0.001,-0.0003,0.0,-2.129
WL,-0.0,0.008,-0.001,-0.0004,0.0,-2.8569999999999998
XP,-4.93e-05,0.0,-0.0,-9.409e-05,2.18e-05,-4.314
XQ,-6.27e-05,0.0,-0.0,-0.0001,2.58e-05,-4.4830000000000005
XR,-8.26e-05,0.0,-0.0,-0.0001,2.65e-05,-5.171
XS,-5.520000000000001e-05,0.0,-0.0,-0.0001,2.52e-05,-4.246
YR,-6.08e-05,0.02,-0.001,-0.0004,0.0,-2.487
YS,-1.3000000000000001e-05,0.040999999999999995,-0.001,-0.0003,0.0,-2.148
YU,-4.1700000000000004e-05,0.036000000000000004,-0.001,-0.0006,0.0,-2.206
YV,-2.07e-05,0.038,-0.001,-0.0003,0.0,-2.185
YW,-2.72e-05,0.033,-0.001,-0.0003,0.0,-2.249
YZ,0.001,0.034,3.78e-05,0.0005,0.0,2.241
AAH,0.001,0.028999999999999998,7.020000000000001e-05,0.0006,0.0,2.312
ACK,0.011000000000000001,0.015,0.001,0.0061,0.002,2.602
ADD,0.001,0.037000000000000005,2.59e-05,0.0004,0.0,2.195
ADF,0.001,0.025,8.89e-05,0.0007,0.0,2.37
ADH,0.001,0.031,4.94e-05,0.0005,0.0,2.274
ADR,0.001,0.025,4.46e-05,0.0003,0.0,2.3819999999999997
AFG,-9.23e-05,0.043,-0.006,-0.0029,0.001,-2.123
AGN,0.001,0.048,3.05e-06,0.0003,0.0,2.079
